Order ID,Customer Name,Category,Sub Category,Quantity,Region,City,Order Date,Actual Price,Discount,Payment mode,Sales,Profit,Rating
OD1,Harish,Oil & Masala,Masalas,7,North,Vellore,26/12/21,"₹1,404.48 ",12.00%,Card,"₹1,254.00 ",₹401.28 ,3
OD2,Sudha,Beverages,Health Drinks,4,South,Krishnagiri,11/02/23,₹883.82 ,18.00%,Upi,₹749.00 ,₹149.80 ,5
OD3,Hussain,Food Grains,Atta & Flour,6,West,Perambalur,28/09/21,"₹2,855.60 ",21.00%,Card,"₹2,360.00 ",₹165.20 ,3
OD4,Jackson,Fruits & Veggies,Fresh Vegetables,3,South,Dharmapuri,25/12/21,"₹1,120.00 ",25.00%,Card,₹896.00 ,₹89.60 ,4
OD5,Ridhesh,Food Grains,Organic Staples,5,South,Ooty,22/02/21,"₹2,967.30 ",26.00%,Cash,"₹2,355.00 ",₹918.45 ,5
OD6,Adavan,Food Grains,Organic Staples,7,West,Dharmapuri,30/11/22,"₹2,904.30 ",26.00%,Upi,"₹2,305.00 ",₹322.70 ,4
OD7,Jonas,Fruits & Veggies,Fresh Vegetables,1,West,Trichy,11/09/21,"₹1,098.58 ",33.00%,Upi,₹826.00 ,₹346.92 ,5
OD8,Hafiz,Fruits & Veggies,Fresh Fruits,1,West,Ramanadhapuram,30/08/21,"₹2,438.04 ",32.00%,Cash,"₹1,847.00 ",₹147.76 ,4
OD9,Hafiz,Bakery,Biscuits,9,West,Tirunelveli,12/01/22,₹972.93 ,23.00%,Upi,₹791.00 ,₹181.93 ,3
OD10,Krithika,Bakery,Cakes,9,West,Chennai,30/05/22,"₹2,279.65 ",27.00%,Card,"₹1,795.00 ",₹484.65 ,3
OD11,Ganesh,Snacks,Chocolates,7,West,Karur,10/03/21,"₹2,150.39 ",13.00%,Upi,"₹1,903.00 ",₹437.69 ,5
OD12,Yadav,"Eggs, Meat & Fish",Eggs,6,West,Namakkal,18/01/23,₹771.10 ,10.00%,Cash,₹701.00 ,₹308.44 ,3
OD13,Sharon,Snacks,Cookies,3,South,Dindigul,17/06/22,"₹1,974.21 ",19.00%,Cash,"₹1,659.00 ",₹315.21 ,3
OD14,Peer,Fruits & Veggies,Fresh Vegetables,5,West,Kanyakumari,04/12/22,"₹1,596.25 ",25.00%,Card,"₹1,277.00 ",₹63.85 ,3
OD15,Sundar,"Eggs, Meat & Fish",Chicken,8,Central,Kanyakumari,19/07/21,"₹1,013.82 ",22.00%,Upi,₹831.00 ,₹207.75 ,5
OD16,Ramesh,Oil & Masala,Edible Oil & Ghee,4,Central,Krishnagiri,04/01/23,"₹1,598.40 ",11.00%,Card,"₹1,440.00 ",₹100.80 ,5
OD17,Alan,Bakery,Cakes,9,Central,Dharmapuri,24/11/21,"₹2,147.84 ",28.00%,Card,"₹1,678.00 ",₹318.82 ,2
OD18,Arutra,Beverages,Health Drinks,6,West,Bodi,22/04/23,"₹1,924.23 ",19.00%,Cash,"₹1,617.00 ",₹113.19 ,4
OD19,Haseena,"Eggs, Meat & Fish",Mutton,4,West,Tenkasi,08/09/22,"₹2,371.95 ",35.00%,Upi,"₹1,757.00 ",₹386.54 ,3
OD20,Verma,Beverages,Soft Drinks,1,West,Kanyakumari,29/06/21,₹892.68 ,29.00%,Card,₹692.00 ,₹159.16 ,4
OD21,Hafiz,Beverages,Health Drinks,4,West,Vellore,16/01/23,₹621.18 ,19.00%,Card,₹522.00 ,₹208.80 ,3
OD22,Alan,Food Grains,Dals & Pulses,6,Central,Karur,01/07/23,"₹1,071.24 ",13.00%,Cash,₹948.00 ,₹47.40 ,3
OD23,Haseena,Beverages,Soft Drinks,4,Central,Krishnagiri,24/08/21,₹947.38 ,34.00%,Card,₹707.00 ,₹148.47 ,5
OD24,Alan,Fruits & Veggies,Organic Vegetables,8,East,Tenkasi,25/04/22,"₹1,250.01 ",29.00%,Card,₹969.00 ,₹77.52 ,5
OD25,Sharon,"Eggs, Meat & Fish",Eggs,5,West,Ooty,15/11/22,"₹1,221.00 ",11.00%,Cash,"₹1,100.00 ",₹495.00 ,4
OD26,Krithika,Snacks,Chocolates,7,West,Tirunelveli,29/01/23,"₹2,244.42 ",11.00%,Cash,"₹2,022.00 ",₹202.20 ,4
OD27,Muneer,Snacks,Cookies,9,West,Trichy,26/06/22,₹605.92 ,12.00%,Card,₹541.00 ,₹43.28 ,2
OD28,Jackson,Bakery,Biscuits,2,East,Viluppuram,30/01/22,"₹1,194.38 ",22.00%,Upi,₹979.00 ,₹401.39 ,4
OD29,Veronica,Beverages,Soft Drinks,2,East,Krishnagiri,18/07/21,"₹2,425.36 ",22.00%,Upi,"₹1,988.00 ",₹874.72 ,4
OD30,Shah,Oil & Masala,Masalas,8,East,Kanyakumari,13/08/21,"₹1,157.13 ",17.00%,Cash,₹989.00 ,₹69.23 ,3
